id,id_asignatura,titulo,enlace
1,3,Práctica 1. Tareas iniciales,https://github.com/ULL-ESIT-GRADOII-DSI/rafa-daniel-pedro-dsi1516
2,7,Práctica 1. Tareas Iniciales,https://github.com/ULL-ESIT-SYTW-1617/tareas-iniciales-rafadanipedro
3,7,Práctica 2. Creación de un Paquete NPM,https://github.com/ULL-ESIT-SYTW-1617/creacion-de-paquetes-y-modulos-en-nodejs-rafadanipedro
4,7,Práctica 3. Despliegues en iaas y heroku,https://github.com/ULL-ESIT-SYTW-1617/practica-despliegues-en-iaas-y-heroku-rafadanipedro
5,7,Práctica 4. Nueva funcionalidad para el Paquete NPM: plugins,https://github.com/ULL-ESIT-SYTW-1617/gitbook-start-iaas-ull-es-rafadanipedro
6,7,Práctica 5. Plugins: Heroku,https://github.com/ULL-ESIT-SYTW-1617/practica-plugins-heroku-rafadanipedro
7,7,Práctica 6. Nueva funcionalidad para el Paquete NPM: crear repositorio en GitHub,https://github.com/ULL-ESIT-SYTW-1617/crear-repositorio-en-github-rafadanipedro
8,7,Práctica 7. Autenticación OAuth con Passport,https://github.com/ULL-ESIT-SYTW-1617/autenticacion-oauth-con-passport-rafadanipedro
9,7,Práctica 8: Passport y LocalStrategy,https://github.com/ULL-ESIT-SYTW-1617/passport-y-localstrategy-rafadanipedro
10,7,Práctica 9: LocalStrategy y Base de Datos,https://github.com/ULL-ESIT-SYTW-1617/practica-localstrategy-y-base-de-datos-rafadanipedro
11,7,Gitbook de mi presentación,https://ull-esit-sytw-1617.github.io/presentaciones-todos/babel-es6-es7-y-es8/
12,7,Presentación,https://github.com/ULL-ESIT-SYTW-1617/PresentacionESX_STYW
13,7,Proyecto final,https://github.com/ULL-ESIT-SYTW-1617/proyecto-sytw-16-17-rafadanipedro
